"City","Active Listings","Average Active Price","Average Historical Sale Price","Average Historical Sale-to-List Ratio","Market Classification"
Anaheim,138,960911,653772.0,1.01,Balanced Market
Bakersfield,239,494511,397566.0,0.99,Balanced Market
Fresno,88,517916,415975.0,0.99,Balanced Market
Irvine,454,2000506,697154.0,1.06,Balanced Market
Los Angeles,2879,2880318,835641.0,1.11,Balanced Market
Oakland,334,751636,1390828.0,1.62,Balanced Market
Riverside,409,838407,570846.0,1.0,Balanced Market
Sacramento,52,479091,447369.0,1.0,Balanced Market
San Diego,1486,1171628,1067117.0,1.3,Balanced Market
San Francisco,85,1376586,1103636.0,1.05,Balanced Market
San Jose,546,1329617,1412178.0,1.05,Balanced Market
