"city","active_listings","avg_list_price","avg_sale_price","avg_price_ratio","inventory_tightness_z","sales_pace_z","pricing_power_z","openhouse_activity_z","competitiveness_score","market_type"
"29 Palms",167,306647.1856,182644.89551724138,0.9608904176352498,0.837296977617616,0.20216326815345603,-0.10724199754441098,-0.8585848719245773,-0.2581521858021871,Balanced Market
Acton,32,963421.6250,618278.1212121212,0.9661084810355246,0.09666766441840946,-0.010383895045750317,-0.10547332533117153,-0.6824896078418594,0.010721832373036755,Balanced Market
Adelanto,94,388363.3936,279817.5505226481,0.9627269384391289,0.2879581309485872,-0.16496365009971858,-0.10661950543082607,-0.48202295655665883,-0.02068190022824251,Balanced Market
Agoura Hills,50,1963814.9400,914282.8953974895,0.9927892863900527,-0.27507453297619516,-0.12631871133622652,-0.09642981714863016,0.037003079016812386,0.08778872024745621,Balanced Market
Agua Dulce,16,1155275.0000,741417.1875,0.9835852650400926,0.84432893783003,-0.4741231602076551,-0.0995495371602498,-0.9680025788175227,-0.044126336553035134,Balanced Market
Aguanga,17,612591.0588,254017.92592592593,0.9485744453576802,-0.671349283292304,0.7045474720788529,-0.11141651906234001,-0.43056666687554085,-0.0003277456671126,Balanced Market
Ahwahnee,6,1114799.8333,447550.0,0.9721638455297802,0.6327885407633519,0.5692901864066306,-0.10342084836788612,-0.9680025788175227,-0.2948496147796083,Balanced Market
Alameda,52,927746.1538,1206794.4518950437,1.091396948061618,-0.5491623656164498,-0.37751081329892494,-0.06300656836214906,1.3161011889877845,0.12748986426718925,Balanced Market
Alamo,24,4605116.6667,2402710.6204379564,0.9987062642498918,-0.4369682335056048,-0.3581883439171789,-0.0944242465903078,1.3161011889877845,0.0786095803509643,Balanced Market
Albany,12,733916.6667,1202920.9090909092,1.1510515701995707,-0.6216497148737393,-0.3581883439171789,-0.04278652416699021,0.5547317436501701,0.22564228602216138,Balanced Market
Albion,4,791000.0000,549500.0,0.9425407902501023,0.42135388745926666,0.6465800639336148,-0.11346163758897222,-0.9680025788175227,-0.2576184188128038,Balanced Market
Alhambra,62,908418.9355,559794.1045918367,1.0145292681344862,-0.5198713433782745,-0.3388658745354329,-0.08906101024113114,1.2424205696459207,0.10666080533718074,Balanced Market
Aliso Viejo,33,1163366.6667,482018.1303571428,1.0047834178257842,-0.9901138556279706,-0.396833282680671,-0.09236438417761585,1.523749062518965,0.23599991998741118,Balanced Market
Alpine,37,1063462.0811,856431.4414414414,9.99668582861937,0.31561012486657586,-0.37751081329892494,2.955457521798859,-0.10374796336288626,0.9155822594056511,Competitive Market
Altadena,39,1696820.1026,973089.2846357618,1.0355643650799697,-0.6580784410869215,-0.37751081329892494,-0.08193112533626087,1.2575322001737206,0.16034421869750357,Balanced Market
Alturas,4,217000.0000,4200.0,0.969138226585632,-0.5656055206996132,6.095516429585996,-0.10444638748917853,-0.9680025788175227,-1.593506931030916,Buyer Opportunity
American Canyon,1,729000.0000,621804.2222222222,0.9970033743195338,-0.9180494814210517,-0.416155752062417,-0.09500144427285627,3.6002049567930916,0.01174064108387457,Balanced Market
Anaheim,138,960910.5507,653771.9152393617,1.0121462820480598,-0.6894314666956542,-0.37751081329892494,-0.08986872777008578,0.15749868918361357,0.27737219674898667,Balanced Market
Anaheim Hills,21,1446974.4762,916447.2555910543,1.0061732623508723,-0.9513058947564531,-0.396833282680671,-0.09189329381253576,2.0774706343253984,0.16912670165483662,Balanced Market
Anderson,1,344999.0000,309737.5,0.9384274481419485,-0.874007204301196,-0.416155752062417,-0.11485586248280093,3.6002049567930916,-0.007428367515065537,Balanced Market
Angels Camp,6,625936.3333,322000.0,0.9525964745116722,0.31561012486657586,-0.416155752062417,-0.1100532448627337,-0.9680025788175227,0.09394797258168451,Balanced Market
Angelus Oaks,12,537433.1667,368983.6111111111,0.9438872838342386,1.196825770432765,-0.02970636442749635,-0.11300524110528028,-0.5873201402524835,-0.32530538010791626,Balanced Market
Antelope,2,386165.0000,523500.0,1.022456388947906,-0.7418275010603325,-0.37751081329892494,-0.08637409802136979,-0.9680025788175227,0.4066895227831186,Balanced Market
Antelope Acres,1,499900.0000,26068.75,0.9195502626627838,-0.874007204301196,-0.04902883380924238,-0.12125431931630888,-0.9680025788175227,0.33733477351999114,Balanced Market
Antioch,101,605735.6238,504702.1445783133,1.008575072817677,-0.44336573114246264,-0.3388658745354329,-0.09107919572513395,0.07228334581433317,0.20011738840439514,Balanced Market
Anza,49,389871.4898,248114.2641509434,0.9550265167875711,0.6847087281963632,0.35674302320742424,-0.10922957755157123,-0.78154662004404,-0.26704973668220355,Balanced Market
Apple Valley,280,492978.4143,342540.2769539078,1.02323483939997,0.04215675480187733,-0.06835130319098841,-0.08611024080494026,-0.543812531683328,0.03640654544358405,Balanced Market
Aptos,53,1785417.9434,1499870.3128205128,0.9884345312097187,0.02280564624741491,-0.1842861194814646,-0.09790586944851441,1.359197658878735,-0.11684738475221292,Balanced Market
Arcadia,106,2688281.5472,1066061.9802158272,1.0267034887914839,-0.36982094425924616,-0.3002209357719408,-0.08493453569642861,1.1437153094239823,0.06116067235802926,Balanced Market
Arleta,16,850974.9375,722562.9444444445,1.0282605073316637,-0.42459621328226,-0.396833282680671,-0.08440678139061283,1.3161011889877845,0.08949669547291697,Balanced Market
Arnold,2,789500.0000,410941.6666666667,0.986869645770431,-0.7418275010603325,0.27945314568044016,-0.09843629025429178,-0.9680025788175227,0.20598167741943246,Balanced Market
Aromas,1,1275000.0000,973153.3333333334,0.9478921111557571,-1.0502291846619154,-0.010383895045750317,-0.1116477974985163,3.6002049567930916,-0.0753309110165643,Balanced Market
Arrowbear,14,343620.9286,204570.58823529413,0.891500722024197,1.7773061551853413,0.18284079877171,-0.13076176284775148,-0.6417000827563922,-0.5631026067658016,Buyer Opportunity
Arroyo Grande,35,1886728.4857,1010260.2948717949,15.724087677343704,-0.5648653143614644,-0.416155752062417,4.896770941517299,0.3371982690119283,1.7296177754811612,Competitive Market
Artesia,11,931150.7273,566855.9393939395,1.0052866519657302,-0.4774680945786054,-0.37751081329892494,-0.09219381203776236,1.9390402413737902,0.034931504614551356,Balanced Market
Arvin,2,272450.0000,10559580,0.803377581886645,-0.7418275010603325,1.979830451274091,-0.16063126372359132,-0.9680025788175227,-0.3227900062994526,Balanced Market
Atascadero,46,806138.0435,773768.2833333333,0.9888661020556785,-0.3807654236875897,-0.37751081329892494,-0.09775958771432676,-0.173531901676874,0.21550818494934376,Balanced Market
Atherton,6,7877491.6667,9170761.636363637,0.987277001033586,-0.8091334059505803,-0.02970636442749635,-0.09829821643655683,0.5547317436501701,0.16668929181743894,Balanced Market
Atwater,30,600643.3333,432859.92903225805,0.9816147539520704,-0.34957101372274585,-0.22293105824495665,-0.10021744552776438,0.09791099008910871,0.13189428892307056,Balanced Market
Auburn,1,499998.0000,332400.0,0.9565514802330274,-0.8475712636530233,0.6465800639336148,-0.10871268837923147,-0.9680025788175227,0.1244838112838054,Balanced Market
Avalon,13,1484684.6154,1099153.8461538462,0.9493728066361782,1.9017136918756419,0.4533553701161544,-0.11114591303456899,-0.9680025788175227,-0.6430642346261572,Buyer Opportunity
Avenal,18,359900.0000,65375.0,0.763125,8.246392319318389,1.2648990841494876,-0.1742749505922304,-0.9680025788175227,-2.8088696483362794,Buyer Opportunity
Avila Beach,2,2827745.0000,1316174.2,0.9806971143207742,-0.9744637787642523,-0.04902883380924238,-0.10052848117320239,1.3161011889877845,0.14527912052130923,Balanced Market
Azusa,43,687995.0000,606470.8754863814,1.007283235692813,-0.47440152546341735,-0.3581883439171789,-0.09151706630115222,-0.22433950588793528,0.24475579151262675,Balanced Market
Bakersfield,239,494511.3682,397565.9965753425,0.9870600148247364,0.6768308178832078,-0.22293105824495665,-0.0983717643122358,-0.5857258358225553,-0.10710887360289054,Balanced Market
