region,category,parameter,mode,powertrain,year,unit,value
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.04600000008940697
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2800
China,Projection-STEPS,EV stock share,Cars,EV,2020,percent,1.7999999523162842
China,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,13000
China,Projection-STEPS,EV sales share,Cars,EV,2020,percent,5.800000190734863
China,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,990000
China,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,920000
China,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,3500000
China,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,220000
China,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,550000
China,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,6200000
China,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,2700000
China,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,1600000
China,Projection-STEPS,EV sales share,Cars,EV,2021,percent,16
China,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,22000
China,Projection-STEPS,EV stock share,Cars,EV,2021,percent,2.9000000953674316
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.08900000154972076
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",5300
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.18000000715255737
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",11000
China,Projection-STEPS,EV stock share,Cars,EV,2022,percent,4.900000095367432
China,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,25000
China,Projection-STEPS,EV sales share,Cars,EV,2022,percent,29
China,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,3100000
China,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,4400000
China,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,11000000
China,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,1500000
China,Projection-STEPS,EV sales share,Cars,EV,2025,percent,45
China,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,76000
China,Projection-STEPS,EV stock share,Cars,EV,2025,percent,12
China,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,7900000
China,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,1800000
China,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,31000000
China,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,8200000
