role,area,is_mentor,motivation,tenure,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,moments_proud,moments_frustrated,training_1,training_2,training_3,training_4,training_5,training_6,training_7,help_freq,help_speed,completion_freq,completion_challenges,time_rank,management_1,management_2,management_3,management_4,team_1,team_2,team_3,team_4,support_1,support_2,support_3,support_4,hours_thaddeus,hours_other,num_clients,num_clients_active,workload_1,workload_2,workload_3,workload_4,workload_5,growth_1,growth_2,growth_3,growth_4,resources_valuable,resources_2keep,resources_2improve,additional
Non-profit leadership & management member;,Anything Kimmie needs! :);,Yes,"Fulfill a requirement (school, program, etc.)",3-5 months,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Helping other interns with anything I can! ,"When I have roadblocks that I need information to continue a project, but can't get the assistance I need. ",Little,Little,Little,Little,Little,Little,Some,Every few days,More than a week,Rarely,Getting the assistance I need. ,"Troubleshooting;Routine meetings;Waiting for information, responses, or decisions;Main tasks;Administrative tasks;Team collaboration;",Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,Sometimes,Often,16-20 hours,21-30 hours,,,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Easier access to roadblocks ,Client presentation meetings,People keep their cameras on during meetings. I also think that there is always room for improvement. ,I do believe that this organization does great work. 
Care coordinator;,Mentoring;i work with care coordination;,No,"Fulfill a requirement (school, program, etc.)",1-2 months,Agree,Agree,Agree,Agree,Agree,I feel accomplished when I can successfully help clients.,Unresponsiveness of clients.,Plenty,Plenty,Plenty,Plenty,Plenty,Plenty,Plenty,Hardly ever,Within a few hours,Always,I do not face challenges when completing my tasks.,"Main tasks;Team collaboration;Waiting for information, responses, or decisions;Routine meetings;Administrative tasks;Troubleshooting;",Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,16-20 hours,21-30 hours,18,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,Everything is working well.,N/A,
Case manager,Case management,No,Gain professional experience,1-2 years,Agree,Agree,Agree,Agree,Agree,Seeing my clients grow and better their circumstances,Nonresponsive clients or unwilling clients,Some,Fair,Fair,Plenty,Plenty,Plenty,Plenty,Every few days,Within a few hours,Always,Finding resources for clients/working with the resource navs to find tools for clients,"Main tasks;Routine meetings;Team collaboration;Waiting for information, responses, or decisions;Troubleshooting;Administrative tasks",Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Often,Always,16-20 hours,31-40 hours,5,3,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Somewhat Disagree,N/a,The weekly meetings to discuss clients. They allow for collaboration with outside CMs and bring new perspectives to challenging cases,The administrative side has gotten smoother,I have really enjoyed my time here at thaddeus
Program developer & resource navigator,Workshops;Mentoring,No,Gain professional experience,3-5 months,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Hearing progress about clients in client meetings.,Time management with other responsibilities.,Plenty,Fair,Fair,Fair,Fair,Fair,Fair,Hardly ever,Within a few hours,Always,Time management,"Routine meetings;Main tasks;Team collaboration;Waiting for information, responses, or decisions;Troubleshooting;Administrative tasks",Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,6-10 hours,31-40 hours,,,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Connections with experienced professionals.,"Expand on the program development side, allow workshops to receive more feedback.",Mentorship and structure in breakout rooms could be improved. Sometimes people do not show up and interns are unsure of what to do.,
Case manager,Case management;Support groups,No,Support a cause I care about,1-2 years,Agree,Agree,Agree,Agree,Agree,Helping clients achieve goals and watching them grow as individuals make me feel accomplished. I also feel proud when I see CM's that I trained start to stand on their own two feet when working with clients. ,When clients become resistant towards help or change. ,N/A,Plenty,Plenty,Plenty,Plenty,Plenty,Plenty,Hardly ever,Within a few hours,Always,I don't find anything challenging. ,"Routine meetings;Main tasks;Administrative tasks;Troubleshooting;Waiting for information, responses, or decisions;Team collaboration",Always,Always,Always,Always,Always,Always,Always,Always,Always,Never,Always,Always,11-15 hours,More than 40 hours,9 ,8 ,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A ,I think what is working well is the buddy system within the case management department of the programs department. ,I think the meeting times should be more spread out as the programs department meetings are all scheduled on one day and that can be hard to attend with my work schedule. ,N/A
Therapist,Therapy,Yes,"Fulfill a requirement (school, program, etc.)",6-11 months,Agree,Agree,Agree,Agree,Agree,I am most proud of the treatment plans being utilized by my clients and feel most accomplished,when clients do not do the work and when case management does not respond to requests.,Some,Little,Little,Plenty,Some,Some,Some,Hardly ever,Within a few days,Sometimes,"codes, working with the other teams to get clients help","Administrative tasks;Main tasks;Routine meetings;Waiting for information, responses, or decisions;Team collaboration;Troubleshooting",Often,Often,Often,Sometimes,Always,Always,Sometimes,Always,Sometimes,Often,Sometimes,Always,16-20 hours,More than 40 hours,8,8,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"operations, funding, client outreach etc.",meeting and discussing clients,"more structure, less client communication, better understanding of client touch and process",
Program developer & resource navigator,Mentoring,No,Gain professional experience,6-11 months,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I think I start feeling more comfortable to speak in front of people in the meeting!,Sometimes it is hard to find informations,Plenty,Plenty,Fair,Fair,Fair,Fair,Fair,Hardly ever,Within a few hours,Always,I think when the request is not clear since I'm resource navigator,"Routine meetings;Main tasks;Administrative tasks;Team collaboration;Waiting for information, responses, or decisions;Troubleshooting",Often,Often,Often,Often,Always,Always,Always,Always,Always,Rarely,Always,Always,6-10 hours,11-20 hours,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The mentorship program!,I think we can reorganize the notebook for a bit to make it clear and easy to find info and excluding the outdated informations.,"I think it works well for me, maybe wishing meeting people in real life some day!",
Care coordinator,Housing;Case management,No,Gain professional experience,3-5 months,Agree,Agree,Agree,Agree,Agree,Speaking to others in the organization and everyone being so kind and understanding,Probably when clients aren't responsive!,Plenty,Little,Fair,Little,N/A,N/A,N/A,Every month,Within a few hours,Often,Just time management!,"Main tasks;Administrative tasks;Waiting for information, responses, or decisions;Team collaboration;Troubleshooting;Routine meetings",Always,Often,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,11-15 hours,21-30 hours,18,18,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Maybe professionalism workshops with clients for those who plan on becoming therapists in the future. Or socialization classes that help deal with harsher clients. ,I like the weekly meetings and the client chats to keep everyone on the same page.,Organization of the materials and resources for new staff it was quite confusing to find things at first since every notebook looks so similar. ,Nothing so far!
Care coordinator,Workshops;Support groups;Mentoring;Community outreach;Care Coordination ,No,Gain professional experience,6-11 months,Agree,Somewhat Agree,Agree,Agree,Agree,"I feel most proud and accomplished when I see the direct impact of our work at Thaddeus Resource Center, especially when we help clients move into better, more stable situations. It’s incredibly rewarding to know that the support we provide is making a real difference in someone’s life. Seeing a client reach a milestone, gain independence, or express gratitude for our help reminds me why the work we do is so important.","I feel most challenged or frustrated when a client does not respect my boundaries or consistently pushes against them. It can also be difficult when we are unable to reach clients, especially when we know they need support. These situations can be emotionally draining and make it harder to provide the help we want to give, but I try to stay patient and focused on finding ways to re-engage or set healthy limits.",Some,Some,Some,Little,Plenty,Plenty,Fair,Every month,Within a few days,Often,"Some of the challenges I most often face when trying to complete my tasks include technical issues, unresponsiveness from someone I’m supposed to be working with or receiving support from, and unexpected personal matters that can arise. These challenges can sometimes delay progress, but I do my best to stay flexible and find solutions so I can continue moving forward with my responsibilities.","Waiting for information, responses, or decisions;Main tasks;Troubleshooting;Administrative tasks;Team collaboration;Routine meetings",Often,Often,Sometimes,Always,Often,Always,Always,Always,Sometimes,Sometimes,Always,Always,16-20 hours,21-30 hours,16,12,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,"I’m not entirely sure what specific resource or opportunity would be most valuable right now, but I believe that any help is good help. I’m always open to learning and growing, so any support, guidance, or professional development that can improve my skills or help me be more effective in my role would be appreciated.","The buddy system is working really well and should definitely be maintained. It helps build teamwork and provides support when needed. The way tasks are distributed is also effective, and the resources we have access to make it easier to do our jobs well. These are strengths of the Programs department that should be continued and possibly expanded.","One thing I would like to see improved in the Programs department is more training on Microsoft Teams, so that everyone feels confident using it for communication and collaboration. I would also like to see a stronger commitment and support directed toward the Mentoring and Housing departments, as they play a vital role in the overall success of our clients and could benefit from more consistent attention and resources.",N/A
Program developer & resource navigator,Housing;Workshops,No,Gain professional experience,1-2 months,Agree,Agree,Agree,Agree,Agree,When I'm able to find resources for clients that benefit them and their situation,When resources are hard to come by before a deadline,Fair,Plenty,Little,Little,Plenty,Plenty,Fair,Hardly ever,Within a few hours,Always,Not being able to find resources that fit a client's criteria,"Main tasks;Routine meetings;Waiting for information, responses, or decisions;Team collaboration;Troubleshooting;Administrative tasks",Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,11-15 hours,21-30 hours,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I think learning how to interact with others professionaly is especially valuable,Open communication among each other,More teamwork ragarding completing tasks,
Program developer & resource navigator,Mentoring;Workshops;Support groups,No,Gain professional experience,1-2 months,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,"I felt proud in moments where I was able to connect clients to resources, and learned how to navigate and find those resources on my own.","I do feel challenged in navigating my tasks and responsibilities. For example, I'm tasked with making a workshop but I'm not clear on what the outline of a workshop entails, I feel like a lot of learning is self-learning. ",Fair,None,None,None,Some,Fair,Some,Every month,Within a few hours,Often,n/a,"Main tasks;Troubleshooting;Waiting for information, responses, or decisions;Administrative tasks;Routine meetings;Team collaboration",Often,Always,Sometimes,Always,Often,Often,Always,Always,Always,Never,Always,Often,11-15 hours,21-30 hours,0,,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,"I think maybe more mentoring and understanding of where everyone at Thaddeus is in their lives, maybe could help",Buddy system! It is very helpful,More clear training and meetings for new interns,
Case manager,Case management,No,Gain professional experience,6-11 months,Agree,Agree,Agree,Agree,Agree,I feel most proud when I am able to get a client to respond to me/ confide in me when they need assistance. I love having “break-through” moments as it reinforces the idea that the work I am doing is actually very meaningful and important. ,I feel most frustrated when a client chooses to not accept my assistance or services I have provided. There have been a few clients I have dealt with that desperately need certain resources but do not have the personal motivation to actually make the changes needed in their lives to succeed or make progress. ,Fair,Plenty,Plenty,Fair,Little,Some,Fair,Hardly ever,Within a few minutes,Often,I find it very hard to write case notes. I don’t feel I have the proper knowledge to write effective case notes and I have been told there are several ways to do it and am still unsure of which method is the appropriate way.,"Main tasks;Routine meetings;Team collaboration;Troubleshooting;Waiting for information, responses, or decisions;Administrative tasks",Always,Always,Always,Always,Always,Always,Always,Always,Often,Rarely,Always,Always,11-15 hours,31-40 hours,6,4,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,"I feel case managers should receive more specific training outside of “buddies” when onboarding. I was originally a navigator and transitioned into a case manager once I joined Thaddeus, so my experience may be different from what is typical. However, there were some tasks that I had to learn on my own and even some that I am still unsure of (i.e. how and where to write and submit case notes). I feel like we need more information on what is expected of us, where to find internal resources, and what tasks we should be doing daily when documentation interactions with clients. ","I enjoy our weekly meetings, and feel the break-out rooms in our Program Department meeting has significantly helped my mental health while working in this role. Being able to discuss how case management impacts my own mental health with other case managers and our mentor has really helped me gain a lot of insight into the role and has helped me feel heard and cared for. ","I feel navigators should get to expand on their roles more. I also feel that case managers, life coaches, care coordinators, and therapists should be more encouraged to partake in some of the program development roles such as the mentoring team and the housing teams. I feel those teams would greatly benefit from input from all of the people who work with clients at Thaddeus. ",N/A
Therapist,Therapy,No,"Fulfill a requirement (school, program, etc.)",6-11 months,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"I feel most proud of my work when clients have ""AH-HA"" moments about their interpersonal struggles because of how dedicated they are to change and get the most out of therapy. ","I feel most frustrated when clients don't take therapy seriously or bail on their session. I think the issue with unreliable clients is that we either don't have any effective procedures in place to hold them accountable or the clients don't value our time because they don't take it seriously, which sometimes offends me.",Fair,Fair,Plenty,Some,Fair,Plenty,Fair,Every month,Within a few minutes,Often,Sometimes I find it hard to complete tasks when clients are no-shows or waste my time. ,"Routine meetings;Main tasks;Troubleshooting;Administrative tasks;Team collaboration;Waiting for information, responses, or decisions",Often,Often,Often,Often,Always,Always,Always,Always,Often,Sometimes,Always,Always,11-15 hours,11-20 hours,5,3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,I don't know really. All the resources in the OneNote are very helpful. I would like if therapists had their own google voice line as I did have clients question the confidentiality ethics. They didn't like that they were receiving multiple text messages from different staff members through the same number. ,I like the buddy system and the client presentation weekly meetings.,"I would like the calling and messaging system to be improved. Clients get confused when we call from one number, but text from another.",
