"role","area_1","area_2","area_3","area_4","area_5","is_mentor","motivation","tenure","satisfaction_1","satisfaction_2","satisfaction_3","satisfaction_4","satisfaction_5","moments_proud","moments_frustrated","training_1","training_2","training_3","training_4","training_5","training_6","training_7","help_freq","help_speed","completion_freq","completion_challenges","time_1","time_2","time_3","time_4","time_5","time_6","management_1","management_2","management_3","management_4","team_1","team_2","team_3","team_4","support_1","support_2","support_3","support_4","hours_thaddeus","hours_other","num_clients","num_clients_active","workload_1","workload_2","workload_3","workload_4","workload_5","growth_1","growth_2","growth_3","growth_4","resources_valuable","resources_2keep","resources_2improve","additional"
"Non-profit leadership","Anything Kimmie needs! :)",NA,NA,NA,NA,"Yes","Fulfill a requirement (school, program, etc.)","3-5 months","4","5","4","5","4","Helping other interns with anything I can! ","When I have roadblocks that I need information to continue a project, but can't get the assistance I need. ","2","2","2","2","2","2","3","Every few days","More than a week","2","Getting the assistance I need. ","Troubleshooting","Routine meetings","Waiting for information, responses, or decisions","Main tasks","Administrative tasks","Team collaboration","3","3","3","4","3","2","3","4","3","4","3","4","16-20 hours","21-30 hours",NA,NA,"3","4","4","5","5","4","5","5","3","Easier access to roadblocks ","Client presentation meetings","People keep their cameras on during meetings. I also think that there is always room for improvement. ","I do believe that this organization does great work. "
"Care coordinator","Mentoring","i work with care coordination",NA,NA,NA,"No","Fulfill a requirement (school, program, etc.)","1-2 months","5","5","5","5","5","I feel accomplished when I can successfully help clients.","Unresponsiveness of clients.","5","5","5","5","5","5","5","Hardly ever","Within a few hours","5","I do not face challenges when completing my tasks.","Main tasks","Team collaboration","Waiting for information, responses, or decisions","Routine meetings","Administrative tasks","Troubleshooting","5","5","5","5","5","5","5","5","5","5","5","5","16-20 hours","21-30 hours",18,18,"5","5","5","5","5","5","5","5","5",NA,"Everything is working well.",NA,NA
"Case manager","Case management",NA,NA,NA,NA,"No","Gain professional experience","1-2 years","5","5","5","5","5","Seeing my clients grow and better their circumstances","Nonresponsive clients or unwilling clients","3","4","4","5","5","5","5","Every few days","Within a few hours","5","Finding resources for clients/working with the resource navs to find tools for clients","Main tasks","Routine meetings","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","Administrative tasks","5","5","5","5","5","5","5","5","5","2","4","5","16-20 hours","31-40 hours",5,5,"5","5","5","5","3","5","5","5","2",NA,"The weekly meetings to discuss clients. They allow for collaboration with outside CMs and bring new perspectives to challenging cases","The administrative side has gotten smoother","I have really enjoyed my time here at thaddeus"
"Resource navigator","Workshops","Mentoring",NA,NA,NA,"No","Gain professional experience","3-5 months","5","4","3","3","4","Hearing progress about clients in client meetings.","Time management with other responsibilities.","5","4","4","4","4","4","4","Hardly ever","Within a few hours","5","Time management","Routine meetings","Main tasks","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","Administrative tasks","3","3","4","4","3","4","3","4","3","3","4","3","6-10 hours","31-40 hours",NA,NA,"4","3","4","4","4","4","4","4","3","Connections with experienced professionals.","Expand on the program development side, allow workshops to receive more feedback.","Mentorship and structure in breakout rooms could be improved. Sometimes people do not show up and interns are unsure of what to do.",NA
"Case manager","Case management","Support groups",NA,NA,NA,"No","Support a cause I care about","1-2 years","5","5","5","5","5","Helping clients achieve goals and watching them grow as individuals make me feel accomplished. I also feel proud when I see CM's that I trained start to stand on their own two feet when working with clients. ","When clients become resistant towards help or change. ",NA,"5","5","5","5","5","5","Hardly ever","Within a few hours","5","I don't find anything challenging. ","Routine meetings","Main tasks","Administrative tasks","Troubleshooting","Waiting for information, responses, or decisions","Team collaboration","5","5","5","5","5","5","5","5","5","1","5","5","11-15 hours","More than 40 hours",9,9,"1","5","5","5","5","5","5","5","5","N/A ","I think what is working well is the buddy system within the case management department of the programs department. ","I think the meeting times should be more spread out as the programs department meetings are all scheduled on one day and that can be hard to attend with my work schedule. ",NA
"Therapist","Therapy",NA,NA,NA,NA,"Yes","Fulfill a requirement (school, program, etc.)","6-11 months","5","5","5","5","5","I am most proud of the treatment plans being utilized by my clients and feel most accomplished","when clients do not do the work and when case management does not respond to requests.","3","2","2","5","3","3","3","Hardly ever","Within a few days","3","codes, working with the other teams to get clients help","Administrative tasks","Main tasks","Routine meetings","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","4","4","4","3","5","5","3","5","3","4","3","5","16-20 hours","More than 40 hours",8,8,"3","3","3","3","3","4","4","4","4","operations, funding, client outreach etc.","meeting and discussing clients","more structure, less client communication, better understanding of client touch and process",NA
"Resource navigator","Mentoring",NA,NA,NA,NA,"No","Gain professional experience","6-11 months","4","4","4","4","4","I think I start feeling more comfortable to speak in front of people in the meeting!","Sometimes it is hard to find informations","5","5","4","4","4","4","4","Hardly ever","Within a few hours","5","I think when the request is not clear since I'm resource navigator","Routine meetings","Main tasks","Administrative tasks","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","4","4","4","4","5","5","5","5","5","2","5","5","6-10 hours","11-20 hours",NA,NA,"5","5","5","5","5","5","5","5","5","The mentorship program!","I think we can reorganize the notebook for a bit to make it clear and easy to find info and excluding the outdated informations.","I think it works well for me, maybe wishing meeting people in real life some day!",NA
"Care coordinator","Housing","Case management",NA,NA,NA,"No","Gain professional experience","3-5 months","5","5","5","5","5","Speaking to others in the organization and everyone being so kind and understanding","Probably when clients aren't responsive!","5","2","4","2",NA,NA,NA,"Every month","Within a few hours","4","Just time management!","Main tasks","Administrative tasks","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","Routine meetings","5","4","5","5","5","5","5","5","5","2","5","5","11-15 hours","21-30 hours",18,18,"5","5","5","5","4","5","5","5","5","Maybe professionalism workshops with clients for those who plan on becoming therapists in the future. Or socialization classes that help deal with harsher clients. ","I like the weekly meetings and the client chats to keep everyone on the same page.","Organization of the materials and resources for new staff it was quite confusing to find things at first since every notebook looks so similar. ","Nothing so far!"
"Care coordinator","Workshops","Support groups","Mentoring","Community outreach","Care Coordination ","No","Gain professional experience","6-11 months","5","4","5","5","5","I feel most proud and accomplished when I see the direct impact of our work at Thaddeus Resource Center, especially when we help clients move into better, more stable situations. It’s incredibly rewarding to know that the support we provide is making a real difference in someone’s life. Seeing a client reach a milestone, gain independence, or express gratitude for our help reminds me why the work we do is so important.","I feel most challenged or frustrated when a client does not respect my boundaries or consistently pushes against them. It can also be difficult when we are unable to reach clients, especially when we know they need support. These situations can be emotionally draining and make it harder to provide the help we want to give, but I try to stay patient and focused on finding ways to re-engage or set healthy limits.","3","3","3","2","5","5","4","Every month","Within a few days","4","Some of the challenges I most often face when trying to complete my tasks include technical issues, unresponsiveness from someone I’m supposed to be working with or receiving support from, and unexpected personal matters that can arise. These challenges can sometimes delay progress, but I do my best to stay flexible and find solutions so I can continue moving forward with my responsibilities.","Waiting for information, responses, or decisions","Main tasks","Troubleshooting","Administrative tasks","Team collaboration","Routine meetings","4","4","3","5","4","5","5","5","3","3","5","5","16-20 hours","21-30 hours",16,16,"5","5","5","5","5","5","5","4","3","I’m not entirely sure what specific resource or opportunity would be most valuable right now, but I believe that any help is good help. I’m always open to learning and growing, so any support, guidance, or professional development that can improve my skills or help me be more effective in my role would be appreciated.","The buddy system is working really well and should definitely be maintained. It helps build teamwork and provides support when needed. The way tasks are distributed is also effective, and the resources we have access to make it easier to do our jobs well. These are strengths of the Programs department that should be continued and possibly expanded.","One thing I would like to see improved in the Programs department is more training on Microsoft Teams, so that everyone feels confident using it for communication and collaboration. I would also like to see a stronger commitment and support directed toward the Mentoring and Housing departments, as they play a vital role in the overall success of our clients and could benefit from more consistent attention and resources.",NA
"Resource navigator","Housing","Workshops",NA,NA,NA,"No","Gain professional experience","1-2 months","5","5","5","5","5","When I'm able to find resources for clients that benefit them and their situation","When resources are hard to come by before a deadline","4","5","2","2","5","5","4","Hardly ever","Within a few hours","5","Not being able to find resources that fit a client's criteria","Main tasks","Routine meetings","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","Administrative tasks","5","5","5","5","5","5","5","5","5","3","5","5","11-15 hours","21-30 hours",NA,NA,"5","5","5","5","5","5","5","5","5","I think learning how to interact with others professionaly is especially valuable","Open communication among each other","More teamwork ragarding completing tasks",NA
